"","PARK","BOROUGH","SIZE.(ACRES)","CATEGORY","MURDER","RAPE","ROBBERY","FELONY.ASSAULT","BURGLARY","GRAND.LARCENY","GRAND.LARCENY.OF.MOTOR.VEHICLE","TOTAL","Quarter","Year"
"250","WNYC TRANSMITTER PARK","BROOKLYN     ",6.611,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"251","SPUYTEN DUYVIL SHOREFRONT PARK","BRONX        ",6.6,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"252","PARK AVENUE MALLS","MANHATTAN    ",6.593,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"253","WESTWOOD PARK","STATEN ISLAND",6.563,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"254","UNION SQUARE PARK","MANHATTAN    ",6.51,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q1",2015
"255","CONCRETE PLANT PARK","BRONX        ",6.438,"ONE ACRE OR LARGER",0,0,2,0,0,0,0,2,"Q1",2015
"256","COL. YOUNG PLAYGROUND","MANHATTAN    ",6.423,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"257","BRADYS POND PARK","STATEN ISLAND",6.402,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"258","COOPER PARK","BROOKLYN     ",6.401,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"259","GRAVESEND PARK","BROOKLYN     ",6.379,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"260","DR. CHARLES R. DREW PARK","QUEENS       ",6.336,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"261","TRINITY PARK","BROOKLYN     ",6.3,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"262","MADISON SQUARE PARK","MANHATTAN    ",6.234,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"263","ELMHURST PARK","QUEENS       ",6.219,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q1",2015
"264","FORT HAMILTON ATHLETIC FIELD","BROOKLYN     ",6.194,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"265","AMBROSINI FIELD","BRONX        ",6.1,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"266","CLEARVIEW PARK","QUEENS       ",6.05,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"267","RALPH DEMARCO PARK","QUEENS       ",6.03,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"268","WINGATE PARK","BROOKLYN     ",5.888,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"269","UNNAMED PARK ON DRUMGOOLE ROAD & HUGUENOT AVENUE","STATEN ISLAND",5.848,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"270","DE WITT CLINTON PARK","MANHATTAN    ",5.829,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"271","UNNAMED PARK ON BOUNDARY AVENUE","STATEN ISLAND",5.765,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"272","VAN VOORHEES PARK","BROOKLYN     ",5.739,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"273","HALLETS COVE PLAYGROUND","QUEENS       ",5.7,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"274","MCKINLEY PARK","BROOKLYN     ",5.655,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"275","SOUTHERN FIELDS","QUEENS       ",5.593,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"276","DEVOE PARK","BRONX        ",5.44,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"277","ST. MICHAEL'S PLAYGROUND","QUEENS       ",5.43,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q1",2015
"278","KENNEDY PLAYGROUND","QUEENS       ",5.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"279","MAFERA PARK","QUEENS       ",5.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"280","SEAGIRT AVE WETLANDS","QUEENS       ",5.323,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"281","JOHN PAUL JONES PARK","BROOKLYN     ",5.317,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"282","WALKER PARK","STATEN ISLAND",5.278,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"283","OLD PLACE CREEK PARK","STATEN ISLAND",5.233,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"284","HOOVER - MANTON PLAYGROUNDS","QUEENS       ",5.2,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"285","GEN. DOUGLAS MACARTHUR PARK","STATEN ISLAND",5.165,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"286","GROVER CLEVELAND PLAYGROUND","QUEENS       ",5.1,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"287","POLICE OFFICER EDWARD BYRNE PARK","QUEENS       ",4.966,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"288","CYPRESS HILLS PLAYGROUND","BROOKLYN     ",4.947,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"289","SETH LOW PLAYGROUND/ BEALIN SQUARE","BROOKLYN     ",4.945,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"290","KELLY PARK","BROOKLYN     ",4.896,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"291","SOCRATES SCULPTURE PARK","QUEENS       ",4.893,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"292","BEACH 9 PLAYGROUND","QUEENS       ",4.863,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"293","SOUTH BEACH WETLANDS","STATEN ISLAND",4.794,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"294","NAPLES PLAYGROUND","STATEN ISLAND",4.784,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"295","RAOUL WALLENBERG FOREST","BRONX        ",4.73,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"296","WEST HARLEM PIERS","MANHATTAN    ",4.712,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"297","SPORTS PARK","STATEN ISLAND",4.647,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"298","WASHINGTON'S WALK","BRONX        ",4.637,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"299","CAMBRIA PLAYGROUND","QUEENS       ",4.635,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"300","MARCONI PARK","QUEENS       ",4.635,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"301","VALENTINO PIER","BROOKLYN     ",4.525,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"302","GRANITEVILLE QUARRY PARK","STATEN ISLAND",4.465,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"303","MONTBELLIER PARK","QUEENS       ",4.427,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"304","QUARRY BALLFIELDS","BRONX        ",4.417,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"305","RICHMAN (ECHO) PARK","BRONX        ",4.385,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"306","JEROME PARK","BRONX        ",4.359,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"307","CORLEARS HOOK PARK","MANHATTAN    ",4.355,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"308","PHIL ""SCOOTER"" RIZZUTO PARK","QUEENS       ",4.353,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"309","ASPHALT GREEN","MANHATTAN    ",4.35,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"310","FABER POOL AND PARK","STATEN ISLAND",4.339,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"311","MACHATE CIRCLE","BROOKLYN     ",4.32,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"312","HAMILTON FISH PARK","MANHATTAN    ",4.3,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"313","TIFFANY STREET PIER","BRONX        ",4.231,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"314","KINGDOM POND PARK","STATEN ISLAND",4.22,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"315","COLUMBUS PARK BROOKLYN","BROOKLYN     ",4.14,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"316","STAPLETON PLAYGROUND","STATEN ISLAND",4.096,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"317","STERNBERG PARK","BROOKLYN     ",4.044,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"318","COLUCCI PLAYGROUND","BRONX        ",4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"319","NORTHERLEIGH PARK","STATEN ISLAND",3.955,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"320","STUYVESANT SQUARE","MANHATTAN    ",3.928,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"321","LAST CHANCE POND PARK","STATEN ISLAND",3.903,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"322","CHELSEA PARK","MANHATTAN    ",3.9,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"323","FORDHAM LANDING PLAYGROUND","BRONX        ",3.9,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"324","NORTH 5TH STREET PIER AND PARK","BROOKLYN     ",3.882,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"325","HAGGERTY PARK","QUEENS       ",3.867,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"326","JACOB H. SCHIFF PLAYGROUND","MANHATTAN    ",3.852,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"327","GRANT PARK","BRONX        ",3.85,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"328","EAST ELMHURST PLAYGROUND","QUEENS       ",3.827,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"329","JOSEPH AUSTIN PLAYGROUND","QUEENS       ",3.814,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"330","UNNAMED PARK ON ROCKAWAY BOARDWALK & CREST ROAD","QUEENS       ",3.809,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"331","LINCOLN CENTER PLAZA","MANHATTAN    ",3.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"332","INGRAM WOODS","STATEN ISLAND",3.77,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"333","FARM PLAYGROUND","QUEENS       ",3.757,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"334","HINTON PARK","QUEENS       ",3.735,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"335","LOUIS PASTEUR PARK","QUEENS       ",3.673,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"336","WHITEY FORD FIELD","QUEENS       ",3.622,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"337","POMONOK PLAYGROUND","QUEENS       ",3.596,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"338","CLAWSON PLAYGROUND","STATEN ISLAND",3.593,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"339","BENNETT REST","MANHATTAN    ",3.567,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"340","GOVERNOR SMITH PLAYGROUND","BRONX        ",3.564,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"341","PAERDEGAT PARK","BROOKLYN     ",3.56,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"342","AMERSFORT PARK","BROOKLYN     ",3.557,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"343","CITY LINE PARK","BROOKLYN     ",3.552,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"344","BAILEY PLAYGROUND","BRONX        ",3.533,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"345","NAUTILUS PLAYGROUND QUEENS","QUEENS       ",3.52,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"346","VINMONT VETERAN PARK","BRONX        ",3.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"347","MCDONALD PLAYGROUND BROOKLYN","BROOKLYN     ",3.485,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"348","THE OLDE TOWNE OF FLUSHING BURIAL GROUND","QUEENS       ",3.474,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"349","WEGENER PARK","STATEN ISLAND",3.464,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"350","UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 89TH TO OLD BEACH 88TH STREET","QUEENS       ",3.43,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"351","JULIO CARBALLO FIELDS","BRONX        ",3.428,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"352","GRADY PLAYGROUND","BROOKLYN     ",3.403,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"353","BREININGER PARK","QUEENS       ",3.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"354","CO-OP CITY FIELD","BRONX        ",3.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"355","ST. MICHAEL'S PARK","QUEENS       ",3.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"356","GREENWOOD PLAYGROUND","BROOKLYN     ",3.39,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"357","ST. ANDREW'S PLAYGROUND","BROOKLYN     ",3.38,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"358","SEWARD PARK","MANHATTAN    ",3.361,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"359","BEHAGEN PLAYGROUND","BRONX        ",3.348,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q1",2015
"360","DUGAN PLAYGROUND","STATEN ISLAND",3.333,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"361","EVERGREEN PARK","QUEENS       ",3.32,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"362","JOHN JAY PARK","MANHATTAN    ",3.312,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"363","UNIVERSITY WOODS","BRONX        ",3.306,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"364","WATSON GLEASON PLAYGROUND","BRONX        ",3.301,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q1",2015
"365","TOTTENVILLE POOL","STATEN ISLAND",3.259,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"366","VITO LOCASCIO FIELD","QUEENS       ",3.258,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"367","CALLAHAN-KELLY PLAYGROUND","BROOKLYN     ",3.253,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"368","JUDGE MOSES WEINSTEIN PLAYGROUND","QUEENS       ",3.25,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"369","COLUMBUS PARK AT MANHATTAN","MANHATTAN    ",3.233,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"370","GREENCROFT PLAYGROUND","STATEN ISLAND",3.23,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"371","BILL BROWN PLAYGROUND","BROOKLYN     ",3.214,"ONE ACRE OR LARGER",0,0,0,0,1,0,0,1,"Q1",2015
"372","SARATOGA PARK","BROOKLYN     ",3.214,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"373","SCARANGELLA PARK","BROOKLYN     ",3.214,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"374","JAMAICA PLAYGROUND","QUEENS       ",3.21,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"375","NOBLE PLAYGROUND","BRONX        ",3.21,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"376","MARCY PLAYGROUND","BROOKLYN     ",3.201,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"377","LYONS POOL","STATEN ISLAND",3.195,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"378","WAYANDA PARK","QUEENS       ",3.17,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"379","AMERICAN VETERANS MEMORIAL PIER","BROOKLYN     ",3.169,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"380","HOLCOMBE RUCKER PARK","MANHATTAN    ",3.125,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"381","JESSE OWENS PLAYGROUND","BROOKLYN     ",3.1,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"382","EAST RIVER WALK","MANHATTAN    ",3.089,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"383","PARK OF THE AMERICAS","QUEENS       ",3.076,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"384","BROOKLYN HEIGHTS PROMENADE","BROOKLYN     ",3.035,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"385","J.J. BYRNE PLAYGROUND","BROOKLYN     ",3.03,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"386","HERO PARK","STATEN ISLAND",3.024,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"387","NOSTRAND PLAYGROUND","BROOKLYN     ",3.023,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"388","FORT INDEPENDENCE PLAYGROUND","BRONX        ",3.02,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"389","BROWNSVILLE PLAYGROUND","BROOKLYN     ",3.017,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"390","GRANDVIEW PLAYGROUND","STATEN ISLAND",3.014,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"391","LAWRENCE VIRGILIO PLAYGROUND","QUEENS       ",3.009,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"392","JACOB JOFFE FIELDS","BROOKLYN     ",2.984,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"393","CLASSON PLAYGROUND AT CLASSON AVENUE & KENT","BROOKLYN     ",2.982,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"394","UTOPIA PLAYGROUND","QUEENS       ",2.98,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"395","BATH BEACH PARK","BROOKLYN     ",2.964,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"396","GLEN OAKS OVAL","QUEENS       ",2.948,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"397","MERRIAM PLAYGROUND","BRONX        ",2.944,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"398","POSEIDON PLAYGROUND","BROOKLYN     ",2.944,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"399","ROBERT E. VENABLE PARK","BROOKLYN     ",2.939,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"400","LEFFERTS PLAYGROUND","QUEENS       ",2.937,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"401","WALT WHITMAN PARK","BROOKLYN     ",2.913,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"402","WESTERLEIGH PARK","STATEN ISLAND",2.889,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"403","PETERS FIELD","QUEENS       ",2.872,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"404","DELPHIN H. GREENE PLAYGROUND","QUEENS       ",2.861,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"405","HOFFMAN PARK","QUEENS       ",2.857,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"406","MARKHAM PLAYGROUND","STATEN ISLAND",2.836,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"407","SPERANDEO BROTHERS PLAYGROUND","BROOKLYN     ",2.799,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"408","BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE","BROOKLYN     ",2.783,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"409","IRVING SQUARE PARK","BROOKLYN     ",2.76,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q1",2015
"410","ST. VARTAN PARK","MANHATTAN    ",2.759,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"411","RAVENSWOOD PLAYGROUND","QUEENS       ",2.758,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q1",2015
"412","GORMAN PLAYGROUND","QUEENS       ",2.755,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"413","LOUIS CUVILLIER PARK","MANHATTAN    ",2.752,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"414","GRACE PLAYGROUND","BROOKLYN     ",2.744,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"415","GREEN CENTRAL KNOLL","BROOKLYN     ",2.741,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"416","DETECTIVE WILLIAM T. GUNN PARK","QUEENS       ",2.719,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"417","HOLY COW PLAYGROUND","QUEENS       ",2.7,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"418","BAYSIDE FIELDS","QUEENS       ",2.69,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"419","HICKMAN PLAYGROUND","BROOKLYN     ",2.656,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"420","ARBUTUS WOODS PARK","STATEN ISLAND",2.65,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"421","STARS & STRIPES PLAYGROUND","BRONX        ",2.646,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"422","P.O. SERRANO PLAYGROUND","BRONX        ",2.618,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"423","COLEMAN PLAYGROUND","MANHATTAN    ",2.61,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q1",2015
"424","MARGARET I. CARMAN GREEN - WEEPING BEECH","QUEENS       ",2.6,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"425","KATHY REILLY TRIANGLE","BROOKLYN     ",2.589,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"426","RIVERDALE PLAYGROUND","BRONX        ",2.58,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"427","MARIE CURIE PARK","QUEENS       ",2.552,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"428","EDENWALD PLAYGROUND","BRONX        ",2.537,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"429","THOMAS GREENE PLAYGROUND","BROOKLYN     ",2.525,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"430","MURRAY PLAYGROUND","QUEENS       ",2.524,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"431","BIG BUSH PARK","QUEENS       ",2.5,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q1",2015
"432","BATHGATE PLAYGROUND","BRONX        ",2.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"433","JOSEPH RODMAN DRAKE PARK","BRONX        ",2.49,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"434","INDEPENCE PARK SYLVAN GROVE CEMETERY","STATEN ISLAND",2.476,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"435","ALLEY PARK","QUEENS       ",2.446,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"436","FREDERICK JOHNSON PLAYGROUND","MANHATTAN    ",2.445,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"437","DAMROSCH PARK","MANHATTAN    ",2.443,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"438","ASSER LEVY PLAYGROUND","MANHATTAN    ",2.436,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"439","HARRY MAZE PLAYGROUND","BROOKLYN     ",2.427,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"440","LOST BATTALION HALL RECREATION CENTER","QUEENS       ",2.412,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"441","DUTCH KILLS PLAYGROUND","QUEENS       ",2.4,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q1",2015
"442","KOSCIUSZKO POOL","BROOKLYN     ",2.391,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"443","WEST PLAYGROUND","BROOKLYN     ",2.387,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"444","HOMECREST PLAYGROUND","BROOKLYN     ",2.372,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"445","DE MATTI PLAYGROUND","STATEN ISLAND",2.335,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"446","POE PARK","BRONX        ",2.331,"ONE ACRE OR LARGER",0,0,0,2,0,0,0,2,"Q1",2015
